,t1=8.4
0.0,0.0
0.1,0.010515263951029072
0.2,0.022124288049627412
0.30000000000000004,0.03492674781023966
0.4,0.049028768080206495
0.5,0.06454274492238302
0.6000000000000001,0.0815870594914965
0.7000000000000001,0.10028557498740416
0.8,0.12076694243902232
0.9,0.14316364388894212
1.0,0.16761075511512996
1.1,0.19424442303126732
1.2000000000000002,0.22319995928541098
1.3,0.2546096203357385
1.4000000000000001,0.2886000389989506
1.5,0.3252892972040594
1.6,0.36478368242249093
1.7000000000000002,0.407174203073782
1.8,0.4525329213541705
1.9000000000000001,0.5009092208988103
2.0,0.5523261445300748
2.1,0.6067769625186683
2.2,0.6642221533904051
2.3000000000000003,0.7245869885174536
2.4000000000000004,0.7877598974339641
2.5,0.8535917925607325
2.6,0.9218964886151867
2.7,0.9924523032669937
2.8000000000000003,1.0650048873934177
2.9000000000000004,1.1392711757039367
3.0,1.2149444456958682
3.1,1.2917002038274195
3.2,1.3692027186845317
3.3000000000000003,1.4471118797291516
3.4000000000000004,1.525090091172919
3.5,1.6028089155654337
3.6,1.6799551357374283
3.7,1.7562360708226645
3.8000000000000003,1.831383930342526
3.9000000000000004,1.905159121298114
4.0,1.977352462622177
4.1000000000000005,2.0477863358758563
4.2,2.116314849560552
4.3,2.182823135544543
4.4,2.247225922205318
4.5,2.3094655412006095
4.6000000000000005,2.3695095256500927
4.7,2.42734794827609
4.800000000000001,2.482990632920276
4.9,2.536464351870506
5.0,2.5878100994526747
5.1000000000000005,2.637080512012366
5.2,2.6843374812014846
5.300000000000001,2.729649990576716
5.4,2.773092211445469
5.5,2.8147418034013456
5.6000000000000005,2.8546784852885
5.7,2.8929828221700773
5.800000000000001,2.9297352165061787
5.9,2.9650150894785887
6.0,2.9989002283915673
6.1000000000000005,3.03146628005848
6.2,3.062786369981195
6.300000000000001,3.092930827831511
6.4,3.1219670031850675
6.5,3.1499591537536396
6.6000000000000005,3.1769683972004117
6.7,3.2030527086197367
6.800000000000001,3.2282669559638064
6.9,3.2526629682928756
7.0,3.276289622743698
7.1000000000000005,3.2991929493342775
7.2,3.3214162478759475
7.300000000000001,3.3430002099013505
7.4,3.3639830465891687
7.5,3.384400617764944
7.6000000000000005,3.404286554927332
7.7,3.4236723948646683
7.800000000000001,3.4425876948399257
7.9,3.461060155131104
8.0,3.479115727679536
8.1,3.496778728412897
8.200000000000001,3.51407193624489
8.3,3.53101669229107
8.4,3.5473599739714268
8.5,3.56287329701172
8.6,3.577610731698036
8.7,3.5916227545792854
8.799999999999999,3.6049563973728387
8.899999999999999,3.617655430226486
8.999999999999998,3.6297605555116794
9.099999999999998,3.641309622494981
9.199999999999998,3.65233778250113
9.299999999999997,3.6628776877758074
9.399999999999997,3.6729596615276976
9.499999999999996,3.6826118625108037
9.599999999999996,3.6918604386148823
9.699999999999996,3.7007296825064717
9.799999999999995,3.709242154522981
9.899999999999995,3.7174188250503035
9.999999999999995,3.7252791823711617
10.099999999999994,3.7328413509793004
10.199999999999994,3.7401221934951385
10.299999999999994,3.747137401284075
10.399999999999993,3.753901591618184
10.499999999999993,3.7604283786034536
10.599999999999993,3.7667304574254468
10.699999999999992,3.7728196680749284
10.799999999999992,3.778707067516013
10.899999999999991,3.7844029749048276
10.999999999999991,3.7899170283990555
11.09999999999999,3.7952582535696218
11.19999999999999,3.800435087770038
11.4,3.810408387468203
11.5,3.8153797573100423
11.6,3.820372073409418
11.7,3.8253877377509578
11.799999999999999,3.8304290272266552
11.899999999999999,3.8354981181403347
11.999999999999998,3.840597078235951
12.099999999999998,3.845727876159566
12.199999999999998,3.8508923862727236
12.299999999999997,3.856092389364385
12.399999999999997,3.8613295810403057
12.499999999999996,3.8666055702743862
12.599999999999996,3.8719218837968534
12.699999999999996,3.8772799732988106
12.799999999999995,3.8826812140959746
12.899999999999995,3.8881268999910072
12.999999999999995,3.8936182555688483
13.099999999999994,3.899156432131807
13.199999999999994,3.90474251156688
13.299999999999994,3.9103775059783628
13.399999999999993,3.916062358915649
13.499999999999993,3.921797947044496
13.599999999999993,3.9275850794936007
13.699999999999992,3.933424499988436
13.799999999999992,3.939316886126665
13.899999999999991,3.9452628509155354
13.999999999999991,3.9512629433157977
14.09999999999999,3.9573176481312666
14.19999999999999,3.9634273858450757
14.29999999999999,3.9695925128177163
14.39999999999999,3.975813321250625
14.49999999999999,3.982090043378863
14.599999999999989,3.988422848093658
14.699999999999989,3.994811841107413
14.799999999999988,4.001257066570295
14.899999999999988,4.007758507848003
14.999999999999988,4.014316086333893
15.099999999999987,4.020929662383196
15.199999999999987,4.027599036651402
15.299999999999986,4.034323949620472
15.399999999999986,4.0411040821065844
15.499999999999986,4.047939056298452
15.599999999999985,4.054828436463312
15.699999999999985,4.061771729086514
15.799999999999985,4.0687683838140645
15.899999999999984,4.075817794616355
15.999999999999984,4.082919300237435
16.099999999999984,4.090072185131653
16.19999999999998,4.097275680804814
16.299999999999983,4.104528966737058
16.399999999999984,4.11183117115463
16.499999999999982,4.119181372319694
16.59999999999998,4.126578599736273
16.69999999999998,4.13402183643386
16.799999999999983,4.141510019716936
16.89999999999998,4.149042042237848
16.99999999999998,4.156616753804791
17.09999999999998,4.1642329629590105
17.19999999999998,4.171889438604493
17.29999999999998,4.179584911723398
17.399999999999977,4.187318077145956
17.49999999999998,4.1950875953810005
17.59999999999998,4.202892094414796
17.699999999999978,4.210730170879324
17.799999999999976,4.218600392836134
17.899999999999977,4.226501301687482
17.99999999999998,4.234431414144993
18.099999999999977,4.242389224023592
18.199999999999974,4.250373202950654
