,t1=6
0.0,0.0
0.1,0.010515263951029072
0.2,0.022124288049627412
0.30000000000000004,0.03492674781023966
0.4,0.049028768080206495
0.5,0.06454274492238302
0.6000000000000001,0.0815870594914965
0.7000000000000001,0.10028557498740416
0.8,0.12076694243902232
0.9,0.14316364388894212
1.0,0.16761075511512996
1.1,0.19424442303126732
1.2000000000000002,0.22319995928541098
1.3,0.2546096203357385
1.4000000000000001,0.2886000389989506
1.5,0.3252892972040594
1.6,0.36478368242249093
1.7000000000000002,0.407174203073782
1.8,0.4525329213541705
1.9000000000000001,0.5009092208988103
2.0,0.5523261445300748
2.1,0.6067769625186683
2.2,0.6642221533904051
2.3000000000000003,0.7245869885174536
2.4000000000000004,0.7877598974339641
2.5,0.8535917925607325
2.6,0.9218964886151867
2.7,0.9924523032669937
2.8000000000000003,1.0650048873934177
2.9000000000000004,1.1392711757039367
3.0,1.2149444456958682
3.1,1.2917002038274195
3.2,1.3692027186845317
3.3000000000000003,1.4471118797291516
3.4000000000000004,1.525090091172919
3.5,1.6028089155654337
3.6,1.6799551357374283
3.7,1.7562360708226645
3.8000000000000003,1.831383930342526
3.9000000000000004,1.905159121298114
4.0,1.977352462622177
4.1000000000000005,2.0477863358758563
4.2,2.116314849560552
4.3,2.182823135544543
4.4,2.247225922205318
4.5,2.3094655412006095
4.6000000000000005,2.3695095256500927
4.7,2.42734794827609
4.800000000000001,2.482990632920276
4.9,2.536464351870506
5.0,2.5878100994526747
5.1000000000000005,2.637080512012366
5.2,2.6843374812014846
5.300000000000001,2.729649990576716
5.4,2.773092211445469
5.5,2.8147418034013456
5.6000000000000005,2.8546784852885
5.7,2.8929828221700773
5.800000000000001,2.9297352165061787
5.9,2.9650150894785887
6.0,2.9985148838311733
6.1,3.029977484100125
6.199999999999999,3.0595504229520736
6.299999999999999,3.0873726906504726
6.399999999999999,3.113574501597337
6.499999999999998,3.1382773247976368
6.599999999999998,3.1615940705517693
6.6999999999999975,3.1836293841797607
6.799999999999997,3.2044800217157245
6.899999999999997,3.2242352766572573
6.9999999999999964,3.24297743203464
7.099999999999996,3.2607822191298945
7.199999999999996,3.277719281852029
7.299999999999995,3.2938526264522574
7.399999999999995,3.3092410543921216
7.499999999999995,3.3239385744461605
7.599999999999994,3.3379947930154388
7.699999999999994,3.3514552743730195
7.799999999999994,3.3643618811799647
7.899999999999993,3.376753087164946
7.999999999999993,3.3886642658082167
8.099999999999993,3.400127956169824
8.199999999999992,3.411174105954227
8.299999999999992,3.4218302948662878
8.399999999999991,3.432121938102745
8.499999999999991,3.4420724729522063
8.59999999999999,3.451703526518469
8.69999999999999,3.461035067943252
8.79999999999999,3.470085557601039
8.89999999999999,3.4788720624981075
8.99999999999999,3.487410386077908
9.099999999999989,3.4957151608261032
9.199999999999989,3.503799956848321
9.299999999999988,3.5116773590500117
9.399999999999988,3.519359055451579
9.499999999999988,3.526855903432904
9.599999999999987,3.534178000556228
9.699999999999987,3.541334742405961
9.799999999999986,3.5483348785438897
10.0,3.5619751623997975
10.1,3.568783724430165
10.2,3.5756163624320543
10.299999999999999,3.5824769601199984
10.399999999999999,3.589369198085605
10.499999999999998,3.5962965608776414
10.599999999999998,3.6032623538576916
10.699999999999998,3.6102697089890095
10.799999999999997,3.6173215908313185
10.899999999999997,3.624420804327807
10.999999999999996,3.631570000438879
11.099999999999996,3.6387716791906444
11.199999999999996,3.646028199369254
11.299999999999995,3.6533417857552712
11.399999999999995,3.660714518055238
11.499999999999995,3.6681483457700232
11.599999999999994,3.675645086939289
11.699999999999994,3.6832064319474482
11.799999999999994,3.6908339442578715
11.899999999999993,3.698529062161914
11.999999999999993,3.7062931009502655
12.099999999999993,3.714127252639781
12.199999999999992,3.72203258861219
12.299999999999992,3.7300100589476775
12.399999999999991,3.738060494911636
12.499999999999991,3.746184608963599
12.59999999999999,3.7543829946060776
12.69999999999999,3.7626561264278333
12.79999999999999,3.7710043606011197
12.89999999999999,3.7794279403410864
12.99999999999999,3.7879269912119584
13.099999999999989,3.7965015224941125
13.199999999999989,3.8051514303043596
13.299999999999988,3.8138764963966256
13.399999999999988,3.8226763889988997
13.499999999999988,3.8315506653424665
13.599999999999987,3.8404987717916383
13.699999999999987,3.849520044838462
13.799999999999986,3.858613713381716
13.899999999999986,3.867778899873303
13.999999999999986,3.8770146216935273
14.099999999999985,3.886319793623014
14.199999999999985,3.8956932297063913
14.299999999999985,3.9051336451362966
14.399999999999984,3.9146396590347687
14.499999999999984,3.9242097969262484
14.599999999999984,3.933842493075751
14.699999999999983,3.943536093471749
14.799999999999983,3.953288858931962
14.899999999999983,3.963098968655508
14.999999999999982,3.9729645233223154
15.099999999999982,3.982883548910869
15.199999999999982,3.9928540005721134
15.299999999999981,4.00287376401999
15.39999999999998,4.012940661069231
15.49999999999998,4.023052454462978
15.59999999999998,4.033206851602104
15.69999999999998,4.0434015079689525
15.79999999999998,4.053634030275273
15.899999999999979,4.063901983078089
15.999999999999979,4.074202892431478
16.09999999999998,4.084534250261722
16.199999999999978,4.094893517424032
16.299999999999976,4.105278129502598
16.399999999999977,4.115685501173907
16.49999999999998,4.126113030497345
16.599999999999977,4.136558102886408
16.699999999999974,4.147018095449996
16.799999999999976,4.1574903816960935
16.899999999999977,4.167972335549647
16.999999999999975,4.1784613354438225
17.099999999999973,4.188954768176511
17.199999999999974,4.199450033040578
17.299999999999976,4.209944545561736
17.399999999999974,4.220435741157254
17.49999999999997,4.23092107891111
17.599999999999973,4.241398044837619
17.699999999999974,4.2518641550515754
