,t,V,H,M,bH
0,0.0,0.1,0.0,0.0,0.0
1,0.1,0.1068399858372377,0.010137939106498578,0.01033909308845639,0.010137939106498578
2,0.2,0.11403051095756846,0.02057009642296436,0.021379676041328517,0.02057009642296436
3,0.30000000000000004,0.12157615043516896,0.03132356291908906,0.0331570336423237,0.03132356291908906
4,0.4,0.12947956525368914,0.042424815359029054,0.04570682962347124,0.042424815359029054
5,0.5,0.1377412219972614,0.05389954202473458,0.05906488635128196,0.05389954202473458
6,0.6000000000000001,0.14635909886984808,0.06577245289281196,0.07326694639482087,0.06577245289281196
7,0.7000000000000001,0.1553283774073512,0.07806706659235739,0.08834841299948834,0.07806706659235739
8,0.8,0.16464116064081158,0.09080549297108478,0.10434407488019408,0.09080549297108478
9,0.9,0.17428611138143116,0.10400813408476012,0.12128772687228667,0.10400813408476012
10,1.0,0.18424823546058092,0.11769345523475834,0.13921187258165707,0.11769345523475834
11,1.1,0.19450858287147824,0.13187767199114178,0.15814731672809745,0.13187767199114178
12,1.2000000000000002,0.20504401886990758,0.14657444684404497,0.17812276107178715,0.14657444684404497
13,1.3,0.215827032352077,0.1617945729725135,0.19916437582313393,0.1617945729725135
14,1.4000000000000001,0.2268256007992933,0.17754565377789833,0.2212953552335123,0.17754565377789833
15,1.5,0.23800310754367018,0.1938317827653457,0.2445354634210001,0.1938317827653457
16,1.6,0.24931836008102787,0.21065323083026186,0.2689005724296117,0.21065323083026186
17,1.7000000000000002,0.2607256693690618,0.22800614918166168,0.29440220968359476,0.22800614918166168
18,1.8,0.2721750346586286,0.24588229384718516,0.3210471149942489,0.24588229384718516
19,1.9000000000000001,0.28361245316908795,0.2642687890468123,0.3488368263039969,0.2642687890468123
20,2.0,0.2949803086977485,0.2831479262859892,0.37776729777571555,0.2831479262859892
21,2.1,0.3062178779476606,0.3024970105876989,0.4078285578638059,0.3024970105876989
22,2.2,0.31726197581704546,0.3222882796623596,0.4390044362579104,0.3222882796623596
23,2.3000000000000003,0.32804767861519335,0.3424888839071769,0.47127235385573873,0.3424888839071769
24,2.4000000000000004,0.33850913920787484,0.3630609344762585,0.5046031821184864,0.3630609344762585
25,2.5,0.34858049970958094,0.38396163903174146,0.5389611949003709,0.38396163903174146
26,2.6,0.35819686895569935,0.40514353604923914,0.5743041300976451,0.40514353604923914
27,2.7,0.36729531290184225,0.4265547906978463,0.6105833234496103,0.4265547906978463
28,2.8000000000000003,0.37581587906844754,0.44813958296801437,0.6477439486214859,0.44813958296801437
29,2.9000000000000004,0.38370260515059673,0.46983859969580494,0.6857253841585444,0.46983859969580494
30,3.0,0.3909044645030097,0.49158958027797023,0.7244616536812171,0.49158958027797023
31,3.1,0.39737625393426357,0.513327930027026,0.7638819557649121,0.513327930027026
32,3.2,0.40307937889934997,0.5349874023165738,0.8039112913935756,0.5349874023165738
33,3.3000000000000003,0.40798248165974055,0.5565008246502933,0.8444711681582231,0.5565008246502933
34,3.4000000000000004,0.4120619533590592,0.5778008359219605,0.885480337066767,0.5778008359219605
35,3.5,0.4153022987295173,0.5988206500096627,0.92685558483976,0.5988206500096627
36,3.6,0.41769621659625683,0.6194948175821281,0.9685125732963845,0.6194948175821281
37,3.7,0.41924465889428203,0.639759945095329,1.0103666369899449,0.639759945095329
38,3.8000000000000003,0.4199566066173303,0.659555398245482,1.0523336119280342,0.659555398245482
39,3.9000000000000004,0.41984871960994863,0.6788239420505441,1.0943306197681344,0.6788239420505441
40,4.0,0.41894483426385637,0.6975123160944917,1.1362768112598987,0.6975123160944917
41,4.1000000000000005,0.41727533202489153,0.7155717346098543,1.1780940543028693,0.7155717346098543
42,4.2,0.41487640557861133,0.7329583013149967,1.219707552433003,0.7329583013149967
43,4.3,0.41178924467607436,0.7496333349178576,1.261046387568721,0.7496333349178576
44,4.4,0.40805916663692526,0.7655635918267011,1.3020439692414483,0.7655635918267011
45,4.5,0.40373473654237246,0.7807214110872814,1.342638409152794,0.7807214110872814
46,4.6000000000000005,0.39886688351746835,0.7950847632959624,1.3827728020992653,0.7950847632959624
47,4.7,0.3935080384267888,0.808637213291995,1.4223954191853214,0.808637213291995
48,4.800000000000001,0.3877113169329409,0.8213678026770959,1.461459814597727,0.8213678026770959
49,4.9,0.3815297633978919,0.8332708637938574,1.4999248566031478,0.8332708637938574
50,5.0,0.37501566954253096,0.8443457719962787,1.5377546854023434,0.8443457719962787
51,5.1000000000000005,0.368219976644267,0.8545966487768056,1.5749186083635627,0.8545966487768056
52,5.2,0.361191760812098,0.8640320195094733,1.6113909365266623,0.8640320195094733
53,5.300000000000001,0.35397780923674305,0.8726644445651512,1.6471507775376324,0.8726644445651512
54,5.4,0.34662228901741543,0.8805101261704569,1.68218178734159,0.8805101261704569
55,5.5,0.3391664904591527,0.8875885109142554,1.7164719007619587,0.8875885109142554
56,5.6000000000000005,0.3316486557332926,0.8939218730190869,1.750013025954438,0.8939218730190869
57,5.7,0.3241038765413712,0.8995349186173378,1.7828007409677191,0.8995349186173378
58,5.800000000000001,0.3165640528037167,0.9044543886686784,1.8148339739771193,0.9044543886686784
59,5.9,0.30905791502972446,0.9087086771527808,1.846114681224205,0.9087086771527808
60,6.0,0.30161107863733827,0.9123274780498802,1.8766475393765893,0.9123274780498802
61,6.1000000000000005,0.29424615227502116,0.9153414424305538,1.9064396329905537,0.9153414424305538
62,6.2,0.28698286701661574,0.9177818691836436,1.9355001626442403,0.9177818691836436
63,6.300000000000001,0.27983822652905505,0.9196804195985182,1.9638401656696642,0.9196804195985182
64,6.4,0.2728266902422049,0.9210688564292508,1.9914722477698912,0.9210688564292508
65,6.5,0.26596034046105044,0.9219788156749682,2.018410341815669,0.9219788156749682
66,6.6000000000000005,0.259249068916958,0.922441606432111,2.044669483223936,0.922441606432111
67,6.7,0.25270078272405777,0.9224880204605886,2.070265587786943,0.9224880204605886
68,6.800000000000001,0.2463215699807081,0.9221481914469678,2.0952152750819675,0.9221481914469678
69,6.9,0.24011589783308296,0.9214514574645679,2.1195356868626356,0.9214514574645679
70,7.0,0.23408677414047951,0.9204262598934209,2.143244340098888,0.9204262598934209
71,7.1000000000000005,0.22823592054700406,0.9191000529151533,2.166358985018131,0.9191000529151533
72,7.2,0.22256392349251575,0.9174992372934916,2.188897486911086,0.9174992372934916
73,7.300000000000001,0.21707038017107147,0.9156491071712816,2.2108777189241113,0.9156491071712816
74,7.4,0.2117540325285356,0.9135738150183083,2.2323174701655075,0.9135738150183083
75,7.5,0.2066128897758586,0.9112963486576926,2.2532343662609464,0.9112963486576926
76,7.6000000000000005,0.20164434040178086,0.908838519927831,2.273645801822597,0.908838519927831
77,7.7,0.19684525262797078,0.9062209639555076,2.293568883545544,0.9062209639555076
78,7.800000000000001,0.1922120669988789,0.9034631479816042,2.313020382813708,0.9034631479816042
79,7.9,0.18774087379371662,0.9005833858246888,2.3320166970178904,0.9005833858246888
80,8.0,0.18342748881522683,0.8975988612570306,2.3505738184755636,0.8975988612570306
81,8.1,0.17926751777046682,0.8945256550258212,2.368707309735736,0.8945256550258212
82,8.200000000000001,0.17525640881823878,0.8913787750411647,2.3864322850832416,0.8913787750411647
83,8.3,0.17138950499365016,0.8881721950443094,2.403763399156322,0.8881721950443094
84,8.4,0.16766208393268053,0.8849188881626229,2.4207148363022677,0.8849188881626229
85,8.5,0.16406939609337673,0.8816308700558494,2.4373003077625532,0.8816308700558494
86,8.6,0.16060669578966288,0.8783192379628595,2.4535330493385628,0.8783192379628595
87,8.700000000000001,0.15726926741734237,0.8749942126173146,2.4694258233207163,0.8749942126173146
88,8.8,0.15405244781683933,0.8716651820540443,2.484990923770013,0.8716651820540443
89,8.9,0.1509516454266085,0.8683407408559303,2.5002401807074977,0.8683407408559303
90,9.0,0.14796235479092576,0.8650287356043472,2.5151849703232223,0.8650287356043472
91,9.1,0.14508017000083587,0.8617363032917027,2.529836222351182,0.8617363032917027
92,9.200000000000001,0.14230079374843715,0.8584699131444121,2.5442044316001167,0.8584699131444121
93,9.3,0.13962004518584592,0.8552354058044385,2.5582996690735382,0.8552354058044385
94,9.4,0.1370338662370579,0.8520380307151172,2.5721315932241113,0.8520380307151172
95,9.5,0.13453832459000514,0.8488824849243161,2.585709463742601,0.8488824849243161
96,9.600000000000001,0.13212961772364856,0.8457729467382079,2.5990421528442234,0.8457729467382079
97,9.700000000000001,0.12980407314827858,0.8427131114132829,2.612138159475179,0.8427131114132829
98,9.8,0.12755814961220183,0.8397062230854199,2.6250056216750455,0.8397062230854199
99,9.9,0.12538843649199946,0.8367551062484978,2.637652329818742,0.8367551062484978
100,10.0,0.12329165225146638,0.8338621960126497,2.650085739990601,0.8338621960126497
101,10.100000000000001,0.12126464345348596,0.8310295656732903,2.6623129861586894,0.8310295656732903
102,10.200000000000001,0.11930438159754972,0.8282589544131366,2.6743408935777344,0.8282589544131366
