,V_no,H_no,M_no,V,H,M
0.0,0.1,0.0,0.0,0.1,0.0,0.0
0.1,0.12201092636948604,0.005454098119480513,0.0011066090181988482,0.12201092636948604,0.005454098119480513,0.0011066090181988482
0.2,0.14851248628545816,0.011942641741265149,0.0024551792107523696,0.14851248628545816,0.011942641741265149,0.0024551792107523696
0.30000000000000004,0.18025819803974913,0.019678399917424327,0.004094333262296611,0.18025819803974913,0.019678399917424327,0.004094333262296611
0.4,0.21805064627837945,0.02890695449104298,0.006080497074624304,0.21805064627837945,0.02890695449104298,0.006080497074624304
0.5,0.26270415186448925,0.03990743797679624,0.008478220963104098,0.219060536031945,0.038860481693584165,0.00826677408866724
0.6000000000000001,0.3149845998978062,0.05299088463921385,0.011360017636284017,0.21921110060035776,0.048570242958475285,0.010458841882088567
0.7000000000000001,0.3755205208189695,0.06849499230554304,0.014805459285624609,0.21852315120950988,0.05800681912527785,0.012648200104568288
0.8,0.4446812843476245,0.08677386647337718,0.018899222882497867,0.21702952402488354,0.06714273082274533,0.014826618547027272
0.9,0.5224225888242747,0.10818125549563953,0.023727752202473425,0.21477367524181298,0.07595291950217957,0.016986249500248456
1.0,0.6081074746639409,0.13304599775704568,0.029374239663177655,0.21180818752862365,0.08441515200858833,0.019119725544273658
1.1,0.7003236192418787,0.16163915436223403,0.03591177671015039,0.20819295091186732,0.09251035104902133,0.021220245796496357
1.2000000000000002,0.7967329715881725,0.19413369700476132,0.04339480241648785,0.2039933725080158,0.10022279367549027,0.023281635808155735
1.3,0.8940043457164972,0.23055974092313888,0.05184941592730942,0.19927850873644018,0.1075402418615415,0.025298395045920952
1.4000000000000001,0.9878861408274294,0.2707609295120508,0.06126366776769131,0.19411927842578508,0.11445397331765705,0.027265724341540454
1.5,1.0734657625744006,0.3143600932751258,0.07157948968793479,0.18858681459495252,0.120958725335955,0.029179535461780693
1.6,1.1456267112719345,0.3607434821495601,0.08268820962435232,0.18275096549518463,0.12705257933958464,0.031036447937921253
1.7000000000000002,1.1996591445908507,0.4090719942399699,0.09443147572986091,0.17667904625794986,0.13273675831793547,0.03283376703869389
1.8,1.2319159493405392,0.4583236938256062,0.1066086236670539,0.17043479959906338,0.13801539400769908,0.03456945403253692
1.9000000000000001,1.2403659453896987,0.5073653849934368,0.11899021959822728,0.16407758871684672,0.1428952526522033,0.03624208634358397
2.0,1.2249015854451064,0.5550437017761491,0.13133601159526082,0.15766181988748926,0.14738543549498667,0.03785081066578668
2.1,1.1873189230823682,0.6002806876583704,0.1434143468037899,0.1512365751366283,0.15149706631443605,0.03939529141631076
2.2,1.1309805221844083,0.6421575514442259,0.15501975801420023,0.14484543369278283,0.15524297568471637,0.040875656446894074
2.3000000000000003,1.0602601295713614,0.6799734930331108,0.16598597618806676,0.13852647306658322,0.15863739064080928,0.04229244162875385
2.4000000000000004,0.9799138997945185,0.7132731385977626,0.1761928972695942,0.132312378970881,0.16169563840230178,0.04364653658109634
2.5,0.8945158082673805,0.7418434435905028,0.18556748318157312,0.12623068999021525,0.16443386637730215,0.044939131538003066
2.6,0.8080476208007628,0.7656866000064823,0.19407973949714077,0.12030408121313127,0.16686878719307113,0.046171667942452144
2.7,0.7236737930017045,0.7849782425643129,0.20173551563298625,0.11455073773757378,0.16901744294617876,0.047345791198381317
2.8000000000000003,0.6436823865119712,0.8000201618823716,0.20856791476540915,0.10898476257614605,0.17089699764682786,0.048463307704652445
2.9000000000000004,0.5695465053178893,0.811194769433678,0.214628758235609,0.10361659025260711,0.17252455640037936,0.04952614616615931
3.0,0.5020545502370763,0.8189258861785543,0.21998105007611826,0.09845340517636475,0.1739170106977203,0.05053632309641793
3.1,0.44146594701709285,0.8236479064865864,0.22469290213543502,0.09349954801309189,0.17509090638162356,0.051495912270945465
3.2,0.38766252197521683,0.8257835299967459,0.22883301358410826,0.08875690761078987,0.17606233610381467,0.05240701827962626
3.3000000000000003,0.340279002247052,0.8257291206139199,0.23246756821232867,0.08422529173188606,0.17684685351660664,0.0532717539265575
3.4000000000000004,0.2988062753194911,0.8238462468268998,0.2356583036734705,0.07990275423070804,0.17745940535369864,0.05409222107173284
3.5,0.2626676120824693,0.8204578503142006,0.23846147539805654,0.07578590854202094,0.17791428150401323,0.054870494623861066
3.6,0.23127139421133144,0.8158476562573145,0.2409274617272224,0.07187020147504686,0.17822508115603744,0.05560860966250135
3.7,0.2040451329857624,0.8102616875463649,0.2431007985931942,0.06815015509372306,0.1784046898722196,0.056308550817849086
3.8000000000000003,0.18045552515345928,0.8039110210785273,0.24502048092972925,0.0646195820706417,0.1784652703558059,0.056972244255358004
3.9000000000000004,0.16001863702633984,0.7969751668534446,0.2467204121283275,0.06127176943886438,0.1784182619960642,0.05760155157742004
