,V_no,V
0.0,0.1,0.1
0.1,0.11606247008844148,0.11606247008844148
0.2,0.1344007112386717,0.1344007112386717
0.30000000000000004,0.1552388088838386,0.1552388088838386
0.4,0.17878902752345738,0.17878902752345738
0.5,0.20523743756740478,0.20523743756740478
0.6000000000000001,0.23472537904472657,0.23472537904472657
0.7000000000000001,0.2673268761544195,0.2673268761544195
0.8,0.30302206779121627,0.30302206779121627
0.9,0.34166791468096874,0.34166791468096874
1.0,0.382968212538848,0.33420218489756
1.1,0.42644613694175354,0.32506965982565766
1.2000000000000002,0.47142363179339064,0.31451833909085547
1.3,0.5170130232970206,0.3028063738726517
1.4000000000000001,0.5621263304064974,0.2901919000515826
1.5,0.6055070432735595,0.2769240623982798
1.6,0.6457869139696824,0.26323610592436186
1.7000000000000002,0.6815666402562701,0.2493400879430357
1.8,0.7115147730834723,0.23542352472882783
1.9000000000000001,0.7344743712664344,0.22164764660749003
2.0,0.7495636018520389,0.20814718479323627
2.1,0.7562553645788511,0.19503112574676548
2.2,0.7544234454993352,0.18238439669612672
2.3000000000000003,0.7443477290006435,0.17027008629654766
2.4000000000000004,0.7266782787577498,0.15873197531885747
2.5,0.7023649622961794,0.14779719375621952
2.6,0.6725647233004847,0.13747885177241123
2.7,0.6385408989160593,0.1277785140505439
2.8000000000000003,0.6015675809759701,0.11868850401045944
2.9000000000000004,0.5628497218084222,0.1101939413415829
3.0,0.5234644665731688,0.10227451667416514
3.1,0.48432530014438574,0.09490600806588138
3.2,0.44616704791096007,0.08806155026042425
3.3000000000000003,0.409547662832649,0.08171267564809308
3.4000000000000004,0.37486180702043925,0.07583015252625663
3.5,0.3423618852215573,0.07038464102236466
3.6,0.3121820876630301,0.06534720762504684
3.7,0.2843628050593698,0.06068970134576983
3.8000000000000003,0.2588733061957953,0.05638503075461048
3.9000000000000004,0.23563161663556637,0.05240735125082412
4.0,0.2145211063010097,0.048732187215211345
4.1000000000000005,0.1954038084626569,0.04533649646237256
4.2,0.17813070639159512,0.042198693622054244
4.3,0.16254939798786566,0.039298643373151185
4.4,0.1485095780168262,0.03661762600508895
4.5,0.13586676895988925,0.03413828955808293
4.6000000000000005,0.12448471747663764,0.03184458834122927
4.7,0.1142367541653069,0.02972171349123214
4.800000000000001,0.10500641751429048,0.027756025159345596
4.9,0.09668754892861703,0.02593496852669944
