,t1=4.2
0.0,0.0
0.1,0.010409088193431639
0.2,0.021673505930198157
0.30000000000000004,0.033850538362154625
0.4,0.04699947619607384
0.5,0.06118132907881061
0.6000000000000001,0.07645851987392291
0.7000000000000001,0.09289451545641692
0.8,0.11055331595621763
0.9,0.12949894638799408
1.0,0.1497948033710234
1.1,0.1715029280973598
1.2000000000000002,0.19468319298156445
1.3,0.21939240384853145
1.4000000000000001,0.2456833195923175
1.5,0.27360360159348096
1.6,0.3031947141427577
1.7000000000000002,0.33449078304802865
1.8,0.36751744965119415
1.9000000000000001,0.4022907396715109
2.0,0.4388159773280183
2.1,0.4770867973728097
2.2,0.5170842664120435
2.3000000000000003,0.5587761748579549
2.4000000000000004,0.6021165277015822
2.5,0.6470452674902072
2.6,0.6934882641728938
2.7,0.7413575782558597
2.8000000000000003,0.790552069371311
2.9000000000000004,0.8409582302686689
3.0,0.8924513663007834
3.1,0.9448970269178617
3.2,0.9981526733337728
3.3000000000000003,1.0520695356248995
3.4000000000000004,1.1064946082237854
3.5,1.1612727271472256
3.6,1.2162486565741835
3.7,1.2712691401423142
3.8000000000000003,1.3261848477277354
3.9000000000000004,1.3808521719574116
4.0,1.4351348215905255
4.1000000000000005,1.488905187194506
4.2,1.5416936569700481
4.3,1.593062430916517
4.3999999999999995,1.6429519385842757
4.499999999999999,1.6913192265467571
4.599999999999999,1.7381366759626935
4.699999999999998,1.783390592825811
4.799999999999998,1.8270797082277261
4.899999999999998,1.8692136752538024
4.999999999999997,1.9098115638987077
5.099999999999997,1.9489004202962916
5.199999999999997,1.9865139062453847
5.299999999999996,2.0226910423507953
5.399999999999996,2.057475057661699
5.499999999999996,2.0909123582290428
5.599999999999995,2.123051616163507
5.699999999999995,2.1539429741358838
5.7999999999999945,2.183637359373641
5.899999999999994,2.212185905201855
5.999999999999994,2.239639462111071
6.099999999999993,2.2660481994351196
6.199999999999993,2.291461282780795
6.299999999999993,2.3159266159594045
6.399999999999992,2.339490646416097
6.499999999999992,2.3621982203226435
6.599999999999992,2.3840924779529287
6.699999999999991,2.4052147885000417
6.799999999999991,2.4256047144206625
6.899999999999991,2.445300003457793
6.99999999999999,2.4643365975791256
7.09999999999999,2.4827486486979664
7.1999999999999895,2.5005685733465683
7.299999999999989,2.5178270897600132
7.399999999999989,2.5345532822325723
7.4999999999999885,2.5507746544159122
7.599999999999988,2.5665171997969454
7.699999999999988,2.5818054642282036
7.799999999999987,2.5966626155490067
7.899999999999987,2.61111051005512
7.999999999999987,2.6251697598045607
8.099999999999987,2.6388597978317643
8.199999999999985,2.652198941576164
8.299999999999986,2.6652044549240537
8.399999999999984,2.677892606363622
8.499999999999986,2.6902787271176813
8.599999999999984,2.70237726438722
8.699999999999985,2.7142018333799487
8.799999999999983,2.7257652657418285
8.899999999999984,2.737079656637869
8.999999999999982,2.748156408149019
9.099999999999984,2.7590062709468572
9.199999999999982,2.769639383115657
9.299999999999983,2.780065307162912
9.39999999999998,2.790293064434933
9.499999999999982,2.800331167748306
9.59999999999998,2.8101876518517646
9.8,2.8294492139651255
9.9,2.838993484850135
10.0,2.848506719456467
10.1,2.8579924104819945
10.2,2.8674538055949537
10.299999999999999,2.876893908039387
10.399999999999999,2.8863154785381537
10.499999999999998,2.895721076246083
10.599999999999998,2.905113048127053
10.699999999999998,2.914493544669733
10.799999999999997,2.923864527848433
10.899999999999997,2.9332277846689143
10.999999999999996,2.942584926856464
11.099999999999996,2.9519374059402628
11.199999999999996,2.961286527634785
11.299999999999995,2.9706334491019697
11.399999999999995,2.979979178920019
11.499999999999995,2.989324597519244
11.599999999999994,2.998670455215696
11.699999999999994,3.0080173820759026
11.799999999999994,3.0173658901892533
11.899999999999993,3.026716380897736
11.999999999999993,3.0360691489754745
12.099999999999993,3.0454243874224374
12.199999999999992,3.0547821926146006
12.299999999999992,3.064142567562784
12.399999999999991,3.07350542920363
12.499999999999991,3.0828706115178073
12.59999999999999,3.0922378652937854
12.69999999999999,3.101606867699192
12.79999999999999,3.1109772254708665
12.89999999999999,3.120348475424316
12.99999999999999,3.1297200908592115
13.099999999999989,3.139091486017607
13.199999999999989,3.148462017249329
13.299999999999988,3.157830987012578
13.399999999999988,3.1671976492421376
13.499999999999988,3.1765612112372525
13.599999999999987,3.1859208357855877
13.699999999999987,3.1952756469696424
13.799999999999986,3.2046247323981536
13.899999999999986,3.213967144503823
13.999999999999986,3.223301905943004
14.099999999999985,3.2326280122331372
14.199999999999985,3.241944432252009
14.299999999999985,3.251250113613442
14.399999999999984,3.2605439859091216
14.499999999999984,3.269824963179478
14.599999999999984,3.279091942048723
14.699999999999983,3.2883438079177774
14.799999999999983,3.2975794390284308
14.899999999999983,3.3067977080405235
14.999999999999982,3.3159974804292083
15.099999999999982,3.3251776189640996
15.199999999999982,3.334336988535243
15.299999999999981,3.343474457225013
15.39999999999998,3.3525888947325737
15.49999999999998,3.361679175014808
15.59999999999998,3.3707441822829947
15.69999999999998,3.379782811302189
15.79999999999998,3.3887939661559745
15.899999999999979,3.397776560678474
15.999999999999979,3.4067295256935224
16.09999999999998,3.415651808546936
16.199999999999978,3.4245423722833945
16.299999999999976,3.4334001941636636
16.399999999999977,3.4422242735498676
16.49999999999998,3.4510136309984047
16.599999999999977,3.4597673079258824
16.699999999999974,3.468484363774976
16.799999999999976,3.477163882976754
16.899999999999977,3.4858049742367783
16.999999999999975,3.494406769193322
17.099999999999973,3.502968423325397
17.199999999999974,3.5114891188731727
17.299999999999976,3.519968064451607
17.399999999999974,3.528404492130703
